Country	FI	SW	DA	NO	EN	GE	DU	FL	FR	IT	SP	PO
West Germany	-0.263048589940064	-0.420722963126849	-0.329894450660982	-0.326224778720185	-0.350835926638764	1.68324337299437	-0.196125062290026	-0.334711157132809	-0.467894779183268	-0.33723774610412	-0.268300726887032	-0.257982879901059
Italy	-0.263048589940064	-0.420722963126849	-0.329894450660982	-0.326224778720185	-0.891884102659989	-0.816654918763775	-0.276586626306447	-0.370413680560309	-0.436831225378569	3.63861778691288	-0.268300726887032	-0.257982879901059
France	-0.263048589940064	-0.342448923475343	-0.209932832238806	-0.326224778720185	-0.722806547653356	-0.713566329412924	-0.236355844298236	-0.334711157132809	2.32782506323958	0.0684617980812876	-0.0253113893289653	-0.217907869430992
Netherlands	-0.263048589940064	-0.420722963126849	-0.329894450660982	-0.326224778720185	0.325474293387769	0.317319564095589	3.7464915745146	3.19983866218965	-0.281513456355078	-0.33723774610412	-0.227802503960688	-0.257982879901059
Belgium	-0.263048589940064	-0.420722963126849	-0.329894450660982	-0.326224778720185	-0.58754450364805	-0.507389150711221	-0.276586626306447	1.73603520166217	0.588266050176473	-0.33723774610412	-0.268300726887032	-0.257982879901059
Luxemburg	-0.263048589940064	-0.420722963126849	-0.329894450660982	-0.326224778720185	-0.0126808166254975	1.68324337299437	-0.115663498273605	-0.334711157132809	2.07931663280199	-0.012678110755794	-0.308798949813377	-0.257982879901059
Great Britain	-0.263048589940064	-0.420722963126849	-0.329894450660982	-0.326224778720185	2.32058944246604	-0.713566329412924	-0.276586626306447	-0.370413680560309	-0.312577010159776	-0.296667791685579	-0.227802503960688	-0.257982879901059
Portugal	-0.263048589940064	-0.420722963126849	-0.329894450660982	-0.326224778720185	-0.756622058654683	-0.893971360776914	-0.276586626306447	-0.370413680560309	-0.467894779183268	-0.377807700522661	-0.227802503960688	3.74951816710569
Austria	-0.263048589940064	-0.420722963126849	-0.329894450660982	-0.326224778720185	-0.452282459642743	1.68324337299437	-0.236355844298236	-0.334711157132809	-0.654276102011457	-0.33723774610412	-0.268300726887032	-0.257982879901059
Switzerland	-0.263048589940064	-0.420722963126849	-0.329894450660982	-0.326224778720185	-0.350835926638764	1.24511686825325	-0.236355844298236	-0.299008633705309	1.20953712627044	0.514731296685236	-0.187304281034343	-0.217907869430992
Sweden	-0.0626306166523962	3.49297901944849	0.0699776107462688	0.112061946888613	0.393105315390422	-0.249667677334093	-0.276586626306447	-0.370413680560309	-0.592148994402061	-0.377807700522661	-0.268300726887032	-0.257982879901059
Denmark	-0.263048589940064	0.440291473039726	3.66882616341152	0.470660176932175	0.224027760383789	0.0338259433807481	-0.236355844298236	-0.334711157132809	-0.467894779183268	-0.296667791685579	-0.268300726887032	-0.257982879901059
Norway	-0.263048589940064	0.557702532516986	0.429862466012794	3.65819999954162	0.0887657163784824	-0.40430056136037	-0.276586626306447	-0.370413680560309	-0.654276102011457	-0.377807700522661	-0.308798949813377	-0.217907869430992
Finland	3.7453108758133	0.47942849286548	-0.329894450660982	-0.326224778720185	-0.655175525650703	-0.610477740062073	-0.276586626306447	-0.370413680560309	-0.716403209620854	-0.377807700522661	-0.308798949813377	-0.257982879901059
Spain	-0.263048589940064	-0.420722963126849	-0.329894450660982	-0.326224778720185	-0.891884102659989	-0.868199213439201	-0.276586626306447	-0.370413680560309	-0.436831225378569	-0.33723774610412	3.74102334282107	-0.257982879901059
Ireland	-0.263048589940064	-0.420722963126849	-0.329894450660982	-0.326224778720185	2.32058944246604	-0.868199213439201	-0.276586626306447	-0.370413680560309	-0.716403209620854	-0.418377654941202	-0.308798949813377	-0.257982879901059
